nameWithOwner;stargazers;pullRequests
freeCodeCamp/freeCodeCamp;{'totalCount': 386374};{'totalCount': 35768}
sindresorhus/awesome;{'totalCount': 297507};{'totalCount': 1984}
public-apis/public-apis;{'totalCount': 289907};{'totalCount': 2883}
jwasham/coding-interview-university;{'totalCount': 281707};{'totalCount': 939}
kamranahmedse/developer-roadmap;{'totalCount': 272407};{'totalCount': 2700}
996icu/996.ICU;{'totalCount': 268947};{'totalCount': 1970}
donnemartin/system-design-primer;{'totalCount': 251178};{'totalCount': 300}
donnemartin/system-design-primer;{'totalCount': 251178};{'totalCount': 300}
vinta/awesome-python;{'totalCount': 203240};{'totalCount': 1493}
tensorflow/tensorflow;{'totalCount': 182053};{'totalCount': 25077}
ohmyzsh/ohmyzsh;{'totalCount': 168204};{'totalCount': 6815}
TheAlgorithms/Python;{'totalCount': 177380};{'totalCount': 9161}
trekhleb/javascript-algorithms;{'totalCount': 181401};{'totalCount': 509}
ohmyzsh/ohmyzsh;{'totalCount': 168204};{'totalCount': 6815}
Significant-Gravitas/AutoGPT;{'totalCount': 160541};{'totalCount': 3601}
microsoft/vscode;{'totalCount': 157667};{'totalCount': 28401}
practical-tutorials/project-based-learning;{'totalCount': 163824};{'totalCount': 328}
flutter/flutter;{'totalCount': 161241};{'totalCount': 51918}
microsoft/vscode;{'totalCount': 157667};{'totalCount': 28401}
jlevy/the-art-of-command-line;{'totalCount': 148008};{'totalCount': 462}
jackfrued/Python-100-Days;{'totalCount': 149216};{'totalCount': 147}
airbnb/javascript;{'totalCount': 141481};{'totalCount': 1481}
AUTOMATIC1111/stable-diffusion-webui;{'totalCount': 127894};{'totalCount': 2851}
ytdl-org/youtube-dl;{'totalCount': 128144};{'totalCount': 4418}
Snailclimb/JavaGuide;{'totalCount': 142618};{'totalCount': 1281}
puppeteer/puppeteer;{'totalCount': 86601};{'totalCount': 5449}
trimstray/the-book-of-secret-knowledge;{'totalCount': 127767};{'totalCount': 204}
microsoft/PowerToys;{'totalCount': 103748};{'totalCount': 5094}
trimstray/the-book-of-secret-knowledge;{'totalCount': 127767};{'totalCount': 204}
trimstray/the-book-of-secret-knowledge;{'totalCount': 127767};{'totalCount': 204}
justjavac/free-programming-books-zh_CN;{'totalCount': 108953};{'totalCount': 432}
justjavac/free-programming-books-zh_CN;{'totalCount': 108953};{'totalCount': 432}
d3/d3;{'totalCount': 107539};{'totalCount': 1161}
puppeteer/puppeteer;{'totalCount': 86601};{'totalCount': 5449}
electron/electron;{'totalCount': 111738};{'totalCount': 21460}
nodejs/node;{'totalCount': 103346};{'totalCount': 32458}
f/awesome-chatgpt-prompts;{'totalCount': 102738};{'totalCount': 281}
